rank,node_id,name,steps,hours,people_affected,substations_failed,cascade_size,hospitals_feeder_lost,hospitals_on_backup,hospitals_without_power,pumps_feeder_lost,pumps_without_water,unserved_load_mw,criticality_percentile
89,sub_024,EPIP Whitefield Substation,5,10.0,28673,1,4,2,0,2,1,1,0.0,53.68
90,sub_025,Nandhini Layout Substation,5,10.0,28622,1,14,12,0,12,1,1,0.0,53.16
91,sub_085,sub_085,5,10.0,28590,1,10,7,0,7,2,2,0.0,52.63
92,sub_186,Mathikere,5,10.0,28444,1,6,5,0,5,0,0,0.0,52.11
93,sub_185,sub_185,4,8.0,28384,1,2,0,0,0,1,1,0.0,51.58
94,sub_131,BMRCL RSS,5,10.0,28269,1,3,1,0,1,1,1,0.0,51.05
95,sub_106,REMCO,5,10.0,28202,1,2,1,0,1,0,0,0.0,50.53
96,sub_135,sub_135,2,4.0,27914,1,1,0,0,0,0,0,0.0,50.0
97,sub_134,ETV Substation,2,4.0,27723,1,1,0,0,0,0,0,0.0,49.47
98,sub_086,sub_086,5,10.0,27660,1,2,1,0,1,0,0,0.0,48.95
99,sub_094,sub_094,5,10.0,27620,1,5,4,0,4,0,0,0.0,48.42
100,sub_165,sub_165,5,10.0,27569,1,8,6,0,6,1,1,0.0,47.89
101,sub_132,ITPL,5,10.0,27376,1,6,4,0,4,1,1,0.0,47.37
102,sub_157,sub_157,5,10.0,26725,1,7,5,0,5,1,1,0.0,46.84
103,sub_120,Peenya Substation,2,4.0,26292,1,1,0,0,0,0,0,0.0,46.32
104,sub_007,sub_007,5,10.0,26231,1,17,16,0,16,0,0,0.0,45.79
105,sub_155,sub_155,5,10.0,26173,1,3,2,0,2,0,0,0.0,45.26
106,sub_100,Victoria Hospital Substation,5,10.0,26132,1,17,15,0,15,1,1,0.0,44.74
107,sub_001,sub_001,5,10.0,26024,1,16,14,0,14,1,1,0.0,44.21
108,sub_019,BESCOM Electrical Substation,5,10.0,25496,1,8,7,0,7,0,0,0.0,43.68
109,sub_123,sub_123,5,10.0,25397,1,10,7,0,7,2,2,0.0,43.16
110,sub_073,sub_073,5,10.0,25380,1,2,1,0,1,0,0,0.0,42.63
111,sub_098,sub_098,5,10.0,25300,1,3,2,0,2,0,0,0.0,42.11
112,sub_038,sub_038,5,10.0,25261,1,3,2,0,2,0,0,0.0,41.58
113,sub_122,sub_122,5,10.0,25118,1,8,5,0,5,2,2,0.0,41.05
114,sub_183,sub_183,5,10.0,24793,1,3,2,0,2,0,0,0.0,40.53
115,sub_108,ITC Substation,5,10.0,24353,1,4,3,0,3,0,0,0.0,40.0
116,sub_114,Manyata Substation,5,10.0,24263,1,4,3,0,3,0,0,0.0,39.47
117,sub_021,sub_021,5,10.0,24043,1,21,16,0,16,4,4,0.0,38.95
118,sub_189,sub_189,2,4.0,23915,1,1,0,0,0,0,0,0.0,38.42
119,sub_156,sub_156,5,10.0,23679,1,4,3,0,3,0,0,0.0,37.89
120,sub_070,Chandra Layout,5,10.0,23491,1,23,21,0,21,1,1,0.0,37.37
121,sub_140,sub_140,2,4.0,23392,1,1,0,0,0,0,0,0.0,36.84
122,sub_118,Naganathapura Substation,5,10.0,22915,1,5,4,0,4,0,0,0.0,36.32
123,sub_167,Anjanapura Substation,4,8.0,22453,1,2,0,0,0,1,1,0.0,35.79
124,sub_055,KPTCL Ramanagara Circle,2,4.0,22432,1,1,0,0,0,0,0,0.0,35.26
125,sub_071,Mahalakshmi Layout,5,10.0,22008,1,47,44,0,44,2,2,0.0,34.74
126,sub_137,sub_137,5,10.0,22005,1,2,1,0,1,0,0,0.0,34.21
127,sub_089,Pottery Road,5,10.0,21969,1,10,8,0,8,1,1,0.0,33.68
128,sub_097,KPTCL HMT Layout,5,10.0,21803,1,7,5,0,5,1,1,0.0,33.16
129,sub_051,sub_051,2,4.0,21182,1,1,0,0,0,0,0,0.0,32.63
130,sub_180,sub_180,2,4.0,21065,1,1,0,0,0,0,0,0.0,32.11
131,sub_141,sub_141,5,10.0,21050,1,7,4,0,4,2,2,0.0,31.58
